id,matroshkaRevision,created_at,revision,type,title,isTemporary,prepopulated_type,requestID,wasLocallyCreated,list_type,public
344028561,66,2018-03-22T16:17:33.715Z,66,list,inbox,false,null,F1E5CE31-7090-4F31-B75C-26A3481E38B1,false,inbox,false
344028669,1135,2018-03-22T16:18:44.225Z,1135,list,MAW,false,null,lw4d7eb9f22bffc7e18adf2add9d78f5,false,list,false
344151312,1,2018-03-23T16:46:54.772Z,1,list,MAW Shared,false,null,lw08b7f696551996bccfa82ef43d39c9,false,list,false
344764377,129,2018-03-28T18:07:15.604Z,129,list,Ideas,false,null,lwa9093110fc9ef9c0704e6da979b994,false,list,false
344920977,98,2018-03-29T23:45:47.523Z,98,list,Meetings,false,null,lwaab89a01471418d16bcc4526fe7c53,false,list,false
345618905,65,2018-04-04T22:16:55.691Z,65,list,Inner Core Followup,false,null,lwbb8f1a320a1f1b28c69d8ce03fa9b4,false,list,false
346227712,83,2018-04-09T21:43:46.309Z,83,list,KJFM,false,null,lw9c727944a17fddd85b808a03348711,false,list,false
349438411,295,2018-05-07T00:00:50.755Z,295,list,This Week - AG,false,null,182F840A-4DA5-48FB-8F73-3788BDE20608,false,list,false
347203160,21,2018-04-17T16:27:28.574Z,21,list,Features,false,null,lwc4e0bbb08a9d91e8ccd90f35835189,false,list,false
349438434,62,2018-05-07T00:01:03.203Z,62,list,Next Week - AG,false,null,7ABA8B6E-8823-48A9-B140-A9561E26629D,false,list,false
349536734,569,2018-05-07T16:16:37.586Z,569,list,This Week,false,null,517,false,list,false
349537113,130,2018-05-07T16:19:57.295Z,130,list,This Month,false,null,561,false,list,false
349536740,413,2018-05-07T16:16:41.955Z,413,list,Next Week,false,null,519,false,list,false
349537235,30,2018-05-07T16:20:56.413Z,30,list,This Quarter,false,null,565,false,list,false
349537127,117,2018-05-07T16:20:07.964Z,117,list,Next Month,false,null,563,false,list,false
349537290,15,2018-05-07T16:21:18.403Z,15,list,This Year,false,null,569,false,list,false
349537245,52,2018-05-07T16:21:01.097Z,52,list,Next Quarter,false,null,567,false,list,false
