noterevision,noterequestID,notewasLocallyCreated,noteid,notecontent,notetask_id,notematroshkaRevision,notetype,noteisTemporary
33,1143,false,254474087,"Everything leads up to an annual conference which is a 3 day invite-only affair to celebrate our work, talk about the future, get ideas and celebrate the work of our members. Parties, celebrities, music, conference discussion. Eligible to purchase tickets to national conference depends on level of membership.

Ability to take on membership advantages:
Quarterly briefing
Telling stories is very important.
Our job is to keep you connected

Online platform and app to manage your membership. Possibly sell through iTunes.

Help us eliminate inequality in urban American. Join the antinonprofit.

Naming opportunities

Government contractors

So the narrative goes, that I shouldn't be financially successful and personally wealthy for solving a social ill that apparently is important to people

There is this unease with nonprofits. We rely on member support. Members also get something because that's capitalism. But you get something you want or something you need and you can push the needle forward.  
",3850239259,0,note,false
30,3BC1B741-901E-4F47-B655-8C13869B39F1,false,246378431,"Miles
Kids for wish kids
Donate
Consider your company donating
Start an online campaign
Rally us at work with a jeans day
Open doors to people in your network
Be a wish granter for Make A Wish Arizona
participate in Make A Wish Arizona events",3712772252,0,note,false
2,2717,false,266402709,"",3826656465,0,note,false
1,850,false,253652275,"",3744556475,0,note,false
1,2707,false,266390590,"",3869378871,0,note,false
3,1671,false,255762393,"


Individual giving is key

Top of the funnel challenge – You struggle with getting new donors
Middle of the funnel challenge – You struggle to upgrade your donors and steward 
Bottom of the funnel challenge – Donors give one time

1.	Start stewarding the donors that you already have
Hands off stewardship
Hands on stewardship
Stewardship track

2.	Events
3.	Board
a.	Their role
b.	Qualifications
c.	Fear that people will roll off if you ask to much of them
d.	Being on the board is a privilege
i.	Pay your entry fee by making an introduction
ii.	Pay your fee by volunteering
4.	Your Executive Director and their role
a.	Never be alone
b.	They don’t manage the pipeline
c.	Fundraising is an art, use best practices. 
5.	What type of VP of Development will serve you well
6.	Direct mail
7.	Online giving
8.	Foundations
a.	Think of it as a method of giving. Would you call someone out of the blue and ask for $40,000
9.	Planned Giving
10.	Measuring Success
11.	Moves meeting
12.	Stop having mealy mouth interactions
13.	Real Stewardship
14.	Be daring with a case for support
15. Politicians
Listen to recording from Quinton


",3872662021,0,note,false
1,2036,false,259462298,"",3822741040,0,note,false
2,1276,false,254485498,"",3844306386,0,note,false
24,1764,false,257298252,"
D.	Joaque signed pledge card
G.	Donor Wall
H.	Ned naming opportunity and Schwab
J.	Statue creation and unveiling
K.	Grand Opening (invite list)
L.	Campaign Stewardship
M.  Confirm terms of pledges, and accounting of pledges
",3899372982,0,note,false
1,2035,false,259462075,"",3932671171,0,note,false
1,2713,false,266392541,"",3912244623,0,note,false
1,2363,false,262664653,"",3975088148,0,note,false
1,2341,false,262189677,"",3984239420,0,note,false
33,2118,false,259812158,"Grand Opening
- Invitations (Dave Siewart, 
- Program

Stewardship Plan
- Campaign

Donor Wall
- Find vendor
- Get designed
- Get approved

Donor Rooms, Plaques, and Stories
- Confirm the right names
- Collect quotes

Statue

Marley Proposal

Inner Core 

Campaign Accounting

Retrieving Signed Pledge Cards

Manage West Relationship

Rick and Judy Cox Dinner

Staff Retreat

Board Meeting Materials",3942571260,0,note,false
1,2836,false,270567077,"",3975108119,0,note,false
4,8A8278E9-5607-4FF3-B209-FAAEEA545F37,false,310444157,"Software
2020 Assessment Cohort
Nonprofit Rebels
Nonprofit Media Podcast

Eventually
Fellowships
Community Programming

Eventually
Agency, Software
Model Nonprofit (AG Model)
Media
Black CCS

Strategic Mindshare and Software Acqusitions
For Impact
Chuck
Ellen
Amy and Andrea
Gravyty
Alum Software
Donately

Fundraising Therapy as a platform",4921392129,0,note,false
33,16D76971-860B-4065-9C2A-4AA166648FFF,false,310752703,"Search section
Search by date and time
Search by Tag - category  - folder
Voice Recordings
Watch the transcriptions.

I need to be able to get to my thoughts!",4927997981,0,note,false
1,2712,false,266392481,"",3990789704,0,note,false
1,E353D86A-9A4D-4564-9547-05301131F30A,false,310750308,"",4927950534,0,note,false
33,2546,false,263218369,"Who manages our important relationships?
Who is using the leverage of the national office to build relationships on behalf of chapters and the national office?
Who facilitates the involvement of the CEO in development and relationship building efforts
How do we partner with chapters in our relationship building efforts?
Who coaches/advises the board on achieving their fundraising goals?
Does the board of directors need a leadership coach?
Paid board advisor to help coach?
What do we do when a pledge is late?
How do we maintain our relationships post-campaign?
Top of the month pledge payment report
Figure out the strategy for connectors and the stewardship plan for them?
Who manages stewardship
Who sends out pledges
Who is our politician

",3991000298,0,note,false
22,1839ABCF-F492-46D4-9371-BA2C5A30A388,false,311595651,"Morning Business:
Fundraising Therapy:
Real Politics:
Nightcap:
Sales
Fundraising Pitching
",4928558958,0,note,false
2,72951F0D-4A87-47CB-B0B7-8D30EEA4C6E2,false,310782806,"Content Day on Friday
",4928559079,0,note,false
