taskcommentid,taskcommentmatroshkaRevision,taskcommentauthorid,taskcommentauthorname,taskcommentauthoravatar,taskcommentcreated_at,taskcommentrevision,taskcommenttype,taskcommenttask_id,taskcommentisTemporary,taskcommenttext,taskcommentrequestID,taskcommentwasLocallyCreated,taskcommentlocal_created_at
93374719,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-04T16:52:42.000Z,1,task_comment,3722219281,false,"Bristol Strategy",lw454603c53efd79e25d800727c4c3fd,false,2018-04-04T16:52:11.747Z
93374722,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-04T16:52:44.000Z,1,task_comment,3722219281,false,"For Impact",lwfdfc36e7adaf571cc3ef23facecc5b,false,2018-04-04T16:52:13.579Z
93374751,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-04T16:52:58.000Z,1,task_comment,3722219281,false,"Veritus Group",lw7360b8cef7a691bd8524b2aad1acea,false,2018-04-04T16:52:27.483Z
93374800,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-04T16:53:25.000Z,1,task_comment,3722219281,false,"capitalcampaignmasters",lw09201e0367cd02c3f8c89360e2820a,false,2018-04-04T16:52:54.634Z
93374814,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-04T16:53:39.000Z,1,task_comment,3722219281,false,"Gravyty",lw3150e2e75b7f2192d76a6525d11f10,false,2018-04-04T16:53:09.361Z
93374804,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-04T16:53:29.000Z,1,task_comment,3722219281,false,"Donorsearch",lw1bbe3ad59e8f650ff20c8c68ecdd95,false,2018-04-04T16:52:59.194Z
93370843,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-04T16:15:37.000Z,1,task_comment,3722112458,false,"We need to say, "no one has moved in yet, but i wanted  you to be the first one to look at the building:",lw0dca706c79f6ed871bf25783857dd1,false,2018-04-04T16:15:06.191Z
92824540,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-03-28T18:09:32.000Z,1,task_comment,3701777906,false,"You need to be able to log into a system and see your email and have a conversation about the email. You might also need a place to talk about draft emails too",lwad6fc06f8396989b05396ecd78c165,false,2018-03-28T18:09:11.537Z
93791879,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-09T20:03:28.000Z,1,task_comment,3737982627,false,"Start with connections",lwb37a5f98fde689e2074c6d971daa83,false,2018-04-09T20:02:50.649Z
93791892,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-09T20:03:36.000Z,1,task_comment,3737982627,false,"Find prospects that fit you",lw7fd5bac1b913b1fcdb953bb44fb9c4,false,2018-04-09T20:02:59.486Z
93791913,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-09T20:03:49.000Z,1,task_comment,3737982627,false,"Prospect research is all about prioritizing",lw9e7d00c1b2cab3030daf6b2c411446,false,2018-04-09T20:03:12.735Z
93791933,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-09T20:04:00.000Z,1,task_comment,3737982627,false,"Relsci, Donorsearch integration",lw44947f853872504f557ce96baa8379,false,2018-04-09T20:03:23.614Z
96755066,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-05-11T21:01:55.000Z,1,task_comment,3835786501,false,"Write a script for the case for support",845,false,2018-05-11T21:01:55.036Z
96755073,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-05-11T21:02:04.000Z,1,task_comment,3835786501,false,"Write a script for how to tell people to introduce us",846,false,2018-05-11T21:02:04.249Z
96755333,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-05-11T21:07:21.000Z,1,task_comment,3835786501,false,"Write a script for how to tell people to introduce us",847,false,2018-05-11T21:07:20.590Z
96755674,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-05-11T21:14:07.000Z,1,task_comment,3835786501,false,"The donor care team is our inbound sales team. We need to have a script for how they convince donors to give.",849,false,2018-05-11T21:14:06.709Z
96438311,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-05-08T21:44:27.000Z,1,task_comment,3826656465,false,"What is our case?",682,false,2018-05-08T21:44:27.203Z
96438283,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-05-08T21:44:02.000Z,1,task_comment,3826656465,false,"What does stewardship look like?",679,false,2018-05-08T21:44:02.367Z
96438297,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-05-08T21:44:15.000Z,1,task_comment,3826656465,false,"How do we manage our connectors going forward?",680,false,2018-05-08T21:44:14.984Z
93801548,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-09T22:16:20.000Z,1,task_comment,3738288541,false,"In an effort to better understand our donors, so we can serve more families. Can you take a survey?",lw0f3c3e017122501678510f48fe71e4,false,2018-04-09T22:15:43.622Z
96438322,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-05-08T21:44:36.000Z,1,task_comment,3826656465,false,"Do we start a major gifts council?",683,false,2018-05-08T21:44:35.735Z
93801551,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-09T22:16:27.000Z,1,task_comment,3738288541,false,"How did you find out about us?",lw52653a9ebb1e3b12935b90ffc8b89f,false,2018-04-09T22:15:50.198Z
96438304,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-05-08T21:44:22.000Z,1,task_comment,3826656465,false,"Who are our prospects?",681,false,2018-05-08T21:44:22.280Z
93801565,0,82545110,Kenneth Jones,https://a.wunderlist.com/api/v1/avatar?user_id=82545110,2018-04-09T22:16:48.000Z,1,task_comment,3738288541,false,"What about our mission convinced you to give?",lw62aff35aed6a0c58422f863c6e6872,false,2018-04-09T22:16:10.854Z
