taskpositionrevision,taskpositionrequestID,taskpositionwasLocallyCreated,taskpositionid,taskpositionlist_id,taskpositionvalues,taskpositiontask_id,taskpositionmatroshkaRevision,taskpositionuser_id,taskpositiontype,taskpositionisTemporary
9,BE0C8084-92C6-46A3-8622-2AA8456E15F0,false,344028561,344028561,"5057308564",0,9,0,task_position,false
0,773BB6BC-CB49-4DC5-98C2-1743C74755BD,false,344151312,344151312,"",0,0,0,task_position,false
420,8D9D4E13-D8C7-45CA-8E11-EFEDF7B0D0FD,false,344028669,344028669,"3719100100,3835786501,3685850210,3685857520,3683216453,3704852536,3707522850,3707583216,3712772252,3744559062,3744562930",0,420,0,task_position,false
20,596C1468-FD3A-46A7-B7DD-105155048C04,false,344764377,344764377,"3990791148,3990789704,3872662021,3850239259,3844306386,3737982627,3737378172,3722219281,3716721961,3705610066,3701783552,3701777906",0,20,0,task_position,false
46,F5D68615-C0FD-441A-8995-5FC0AB4F09F0,false,344920977,344920977,"3705675572,3705672372,3705667345,3715695649,3705668600,3705665113,3705663469,3705661710,3705658095,3779966287,3705673426,3705677369,3780006110,3780007844",0,46,0,task_position,false
8,27C7B575-71A3-463B-8262-F5BD182861C5,false,347203160,347203160,"5576694947,5576578480,3685855032,3737410689,3743822621,3762688354,3762687376,3762024211,3761997686",0,8,0,task_position,false
53,6070F8CA-33BF-496D-BDBD-58297DDCBFD5,false,349438411,349438411,"3990812272,3990808077,3990807200,3872685308,3872685232,3872685217,3990803489,3990797483,3990797408,3887490229,3878769748,3847209301,3841107800,3841096327,3841003628,3821913644,3840881191,3821969671,3821924926",0,53,0,task_position,false
41,B5A9FCA4-82AA-4E11-8382-1C7BBAB86197,false,345618905,345618905,"3723324209,3723322923,3723322621,3723322410,3723053867,3723050230,3723039845,3723039448,3723033821,3723033163,3723032948,3723031776,3723031321,3723027806,3723027019,3723021089,3723020681,3723019728,3723009649",0,41,0,task_position,false
51,5DB4110F-68A3-40B4-A25A-44546E9132A0,false,346227712,346227712,"3909182674,3802173929,3780895481,3743726127,3743724877,3743723808,3743653226,3743651995,3743642847,3743631589,3738288541,3738247937,3738247706,3738247506,3738226829,3738226573,3738224586,3738224496,3738224426,3738224708,3743632121",0,51,0,task_position,false
12,E658BAE1-982D-46C4-AE3C-695E13D35FFD,false,349438434,349438434,"3990810040,3841740073,3841052149,3841052008,3823908802,3821912369,3821911899,3822227273,3848294969",0,12,0,task_position,false
5,D1089DF0-AB98-48FA-BF1E-8EDEAE4C771F,false,349537113,349537113,"3878156214,3991001247,3991000829,3991000439,3975159491",0,5,0,task_position,false
80,73B91724-E26E-443C-ADE7-8314EED926D6,false,349536734,349536734,"3993983781,3991002207,3990788645,4084518592",0,80,0,task_position,false
55,9F7B03A4-F1B8-42BC-A78F-441778A9AA8D,false,349536740,349536740,"3975111822,3975109812,3996400024,3996476491,3996474162,3975090034,3912405689,3975108549,3990997560,3991001748,3864429216,3975082653,3975093123,3975094308,3942611562,3942607189,3847148177,3932679938,3996363527,4004981867,4005615500,4005616404,4005620410",0,55,0,task_position,false
2,6AC8CFEA-F587-4598-923C-8CCE860B3240,false,349537235,349537235,"3975088148,3990792614,3682736045,3683551658,3683593419,3722112458,3826656465,3831901590,3889928627,3921355127,3942598940",0,2,0,task_position,false
1,83F710DB-D046-4606-882A-EC8864F6853D,false,349537290,349537290,"3993548732,3704859489,3722267208,3835786501",0,1,0,task_position,false
12,2805007F-FED9-4AA2-8D3B-0DB03C441C99,false,349537245,349537245,"3993986152,3984239420,3942613336,4920917035,3908103677,3857124174,3744556475",0,12,0,task_position,false
2,E18FEAA7-3E8F-4BC1-A90A-1B02C29AEC07,false,349537127,349537127,"3942610772,3874679530,3864430724,3868413263,3702436312,3702540273,3702203539,3822655595,3878156214,3826460827,3829651627,3848284122,3869436609,3685872736,3744618330,3758897801,3814467673,3822547682,3822654040,3822656540,3822717908,3822718630,3826617468,3847326475,3869378871,3878058956,3878095488,3878096132,3909231274",0,2,0,task_position,false
57,A5A03DE9-3894-4114-B735-492B7FF3900C,false,349698987,349698987,"3996477639,3996477131,3996185834,3899372982,3994019147,3914719434,3994023952,3994093582,3942612095,3975704969,3991005299,3990998167,3990997227,3990996554,3990995443,3990348789,3962873905,3942571260,3975092755,3994007397,3994008834,3994012391,3994013572",0,57,0,task_position,false
5,2C74C2D0-41E7-4F68-8103-E3A08DBB5024,false,350249694,350249694,"3821975451,3821975876,3821976987",0,5,0,task_position,false
0,E07E2218-6312-4186-9D58-B2B2FB6B88B4,false,349537304,349537304,"",0,0,0,task_position,false
12,10D9DF6B-930E-4954-9C72-AA9C318EBD00,false,349699018,349699018,"3914721640",0,12,0,task_position,false
0,86A3303D-ED41-4822-8F14-D772BCC2E028,false,359131839,359131839,"",0,0,0,task_position,false
74,12CDE8DC-66E2-43AC-8128-E42EC9D4A1B2,false,390948338,390948338,"4971373227,4948604600,4955271639,4946589373,4948381038,4955271683,4955271721,4955271791,4948374199,4946653860,4955271884,4955399511,4946094115,4958098185,4946012392,4921394511,4946012532,4946009064,4948350941,4948350762,4921392129,4921383137,4928559079,4921395013,4921391348,4921391457,4921393960,4921646765,4921389011,4921389368,4921395516,4921395241,4921391690,4921389183,4927441896,4921382981,4921396831,4921391125,4921389625",0,74,0,task_position,false
2,98EC8E4A-2046-4951-AC7A-DB36323DD06E,false,350249731,350249731,"3990806426,3990806036",0,2,0,task_position,false
7,1B229B24-C485-496D-892D-853A9EF7556D,false,390948380,390948380,"4924993550,4921329818,4921305918,4921274226,4921137724,4920935101,4920925788",0,7,0,task_position,false
27,171804EC-5065-47CE-919A-A7D07AAC645B,false,390948350,390948350,"4946649148,4928275913,4927273269,4927259267,4950013055,4923723809,4921400963,4921400810,4921400599,4921400371,4921400154,4921288581,4921284994,4921269627,4921009642,4920931723",0,27,0,task_position,false
0,9A954543-2349-4562-B73C-9F592DD87805,false,353047429,353047429,"",0,0,0,task_position,false
3,034F4ED2-14B7-4244-BB8E-9F7FC09CB98D,false,390960775,390960775,"5461448239",0,3,0,task_position,false
16,E372F760-D689-4995-957C-D685CFF8577A,false,390948366,390948366,"4958164942,4958100272,4953179527,4946615931,4946589672,4928554991,4928553054,4921397579,4921376761,4921376596,4921376548,4921325606,4921292023",0,16,0,task_position,false
5,E7ECFE9C-60C3-40C9-B94F-B9FA8311868F,false,390955132,390955132,"4977971999,4924479048,4921419300,4921354770,4921147144",0,5,0,task_position,false
0,16140A40-AA69-411C-A9D9-7538F502EB13,false,390960898,390960898,"",0,0,0,task_position,false
0,2C6897E0-61EC-4CF8-A0FE-F8D25A1ED2B2,false,390960957,390960957,"",0,0,0,task_position,false
0,AA94C1F4-A2B3-40A8-9BB1-956CB2D8B2A2,false,390960980,390960980,"",0,0,0,task_position,false
0,806BB66C-3A1D-4D82-A2CD-F68F8A1D5737,false,390960942,390960942,"",0,0,0,task_position,false
0,D9810107-6421-4D15-A5E4-13D4ABF483AA,false,390961019,390961019,"",0,0,0,task_position,false
10,7EAC09C6-D4AE-47F9-B9B0-F89992B8A886,false,390948411,390948411,"4949091069,4928468200,4921652050,4921651087,4921426010,4921425787,4921398457,4921390283,4920926940",0,10,0,task_position,false
0,4829731E-9703-4215-A01D-784E8A202D9A,false,390960984,390960984,"",0,0,0,task_position,false
1,41299731-25DA-4F24-AB1D-C688905F577D,false,390961005,390961005,"4921356902",0,1,0,task_position,false
2,75847816-77F1-4F30-BE2D-85E8EA060F7B,false,390961022,390961022,"4921381089,4921380933",0,2,0,task_position,false
2,6DAB4171-0806-4D46-B463-9F8189A547F4,false,390961027,390961027,"4921357096,4921351049",0,2,0,task_position,false
1,2F9CA408-2B7F-4F8F-8495-4A6DE9C6B1AA,false,390961025,390961025,"5210962663",0,1,0,task_position,false
0,4C277A9D-6308-4245-9D04-FA889D449F7C,false,390961032,390961032,"",0,0,0,task_position,false
0,25E7599B-0BF9-4035-A5D3-00CCD29A4700,false,390961053,390961053,"",0,0,0,task_position,false
0,D0C68631-6487-463A-B109-BE8F733C58D5,false,390961039,390961039,"",0,0,0,task_position,false
1,9556E683-0A4E-4B51-9D21-D5786770C73D,false,391054382,391054382,"4924703670,4924702977",0,1,0,task_position,false
2,901C2EB9-FB1E-47C5-A74C-F76A365725A2,false,390977295,390977295,"4921904188,4921903928",0,2,0,task_position,false
0,70FDA5D4-14CF-4837-B943-6A8D28AD047B,false,391144832,391144832,"",0,0,0,task_position,false
0,5A7946DB-BACD-4ACE-B74C-2375D87D41C4,false,391061424,391061424,"",0,0,0,task_position,false
4,6BE534FB-89FF-4A27-9374-591E6DE73B68,false,391150594,391150594,"4987969991,4928103551,4928036846,4928023600",0,4,0,task_position,false
1,4578D8B3-3CB8-45D5-BECB-4B8D81AD08C8,false,391130479,391130479,"4927278672,4927201283,4927201411",0,1,0,task_position,false
0,68DF3FB3-9618-4B5E-A08A-9E8B5E2A0984,false,391148530,391148530,"",0,0,0,task_position,false
5,9931F579-4219-4969-B24E-4444AB5761CE,false,391150609,391150609,"4928182240,4928181653,4928170677,4928160572,4928099900",0,5,0,task_position,false
1,4F853AF7-5803-432F-A3E7-0839D6242163,false,391150681,391150681,"4928174944,4927865058",0,1,0,task_position,false
0,6254CC5C-E5E5-40E8-844D-E5C1DC46C438,false,391150819,391150819,"",0,0,0,task_position,false
2,51A5631E-BE1C-446E-91B5-EECCA8919EC7,false,391150795,391150795,"4927997981,4927887487",0,2,0,task_position,false
1,7E05513D-B309-444D-861C-992C04D60FC3,false,391153192,391153192,"4927941346",0,1,0,task_position,false
0,8F62E554-C393-41C4-B32D-422AA2337166,false,391152740,391152740,"",0,0,0,task_position,false
42,CA29728B-27BB-45BC-9BD8-312CDA16EE52,false,391153467,391153467,"5263920035,5263899020,5263880908,5263782240,5185636187,4936885874,4930856779,4930374351,4929320082,4929256910,4929024579,4928972707,4928972407,4928929881,4928796450,4928793238,4928783283,4928772859,4928731465,4928727304,4928621552,4928608474,4928601353,4928566455,4928564637,4928526361,4928523950,4928511053,4928509047,4928435470,4928407550,4928393550,4928388110,4928195900,4928193222,4928178855,4928108605,4928102024,4928018212,4928011823,4927987697,4927950534",0,42,0,task_position,false
0,62352928-7439-4760-98E7-B9972E254294,false,391160422,391160422,"",0,0,0,task_position,false
8,54F71837-C863-4D7A-91C6-58EF5B7AE35C,false,391160396,391160396,"5010424923,5007666968,5004349279,4997246384,4994861005,4994847388,4966212234,4928181136,4928174632",0,8,0,task_position,false
2,DA39D24B-A841-4926-9DE1-5BF8C47EE96E,false,391152483,391152483,"4928440760,4927935235",0,2,0,task_position,false
11,91248DCF-5FB4-41A5-B181-B5440A51BF87,false,391164489,391164489,"5593563331,5163098902,5079462964,5057056737,5056896573,5051918791,5042887118,5035636896,5035455347,5035454600,4997560746,4928305592",0,11,0,task_position,false
0,D9F601B1-4765-45BA-BD61-2F572813BEEB,false,391161362,391161362,"",0,0,0,task_position,false
11,DD20E0C0-AADD-4C28-9F6B-A360B74CFBF5,false,399050009,399050009,"5489518897,5337432983,5263592424,5263592261,5263591779,5263591621,5263591341,5263591063,5263590507,5263589985,5207344432",0,11,0,task_position,false
5,79D381CB-B24A-4704-8A5C-A8777A6F0D45,false,394866641,394866641,"5054628899,5054628459,5054628372,5054628237,5054627169",0,5,0,task_position,false
12,FEF30B0F-9EDA-49C5-A87D-DDC133FF4330,false,399052279,399052279,"5625013077,5284088983,5262230880,5241953346,5219022308,5219021851,5219021507,5207738666,5207635283,5207222503,5205085928,5205081006",0,12,0,task_position,false
1,C4C6B143-8A6E-4EB1-8C31-A2128E6A4D19,false,399052364,399052364,"5208145955",0,1,0,task_position,false
